resource_id,title,file_path,size_bytes,company,category,subtopic,estimated_minutes,xp_reward,revision_priority
"accenture-res-5_6226494280345583908","5_6226494280345583908","/resources/accenture/5_6226494280345583908.pdf",631280,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6226494280345583909","5_6226494280345583909","/resources/accenture/5_6226494280345583909.pdf",79398,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6226494280345583910","5_6226494280345583910","/resources/accenture/5_6226494280345583910.pdf",73874,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6226494280345583911","5_6226494280345583911","/resources/accenture/5_6226494280345583911.pdf",76271,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-accenture_aptitude","Accenture aptitude","/resources/accenture/accenture_aptitude.pdf",127868,"accenture","Aptitude","",30,50,"medium"
"accenture-res-accenture_idc","Accenture IDC","/resources/accenture/accenture_idc.pdf",79398,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-accenture_paper","Accenture paper","/resources/accenture/accenture_paper.pdf",83002,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-accenture_paperr","Accenture paperr","/resources/accenture/accenture_paperr.pdf",76271,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6077880573588668773","5_6077880573588668773","/resources/accenture/5_6077880573588668773.pdf",209675,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6077880573588668774","5_6077880573588668774","/resources/accenture/5_6077880573588668774.pdf",200444,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6077880573588668775","5_6077880573588668775","/resources/accenture/5_6077880573588668775.pdf",183849,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6077880573588668776","5_6077880573588668776","/resources/accenture/5_6077880573588668776.pdf",179964,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6077880573588668777","5_6077880573588668777","/resources/accenture/5_6077880573588668777.pdf",296853,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6077880573588668778","5_6077880573588668778","/resources/accenture/5_6077880573588668778.pdf",197932,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6077880573588668779","5_6077880573588668779","/resources/accenture/5_6077880573588668779.pdf",231879,"accenture","Previous Year Questions","",30,50,"medium"
